cluster_id,csm_dimension,labels_in_proposed_family,label_count,modifier_flags_present,source_candidate_ids,reviewer1_decision,reviewer1_canonical_labels,reviewer2_decision,reviewer2_canonical_labels,consensus_decision,consensus_canonical_labels,split_out_labels,merge_rule_invoked,review_notes
KCL00142,Symptom Description,"Thermal sensitivity
Thermal sensitivity and pain
Thermal sensitivity dental pain
Thermal sensitivity pain",4,,KC002696;KC002861;KC002922,merge_all,Thermal sensitivity,merge_all,Thermal sensitivity,merge_all,Thermal sensitivity,,,
KCL00105,Symptom Description,"Dental and jaw pain
Dental or jaw pain
Dental pain and jaw pain
Jaw and dental pain",4,body_site,KC002420;KC002421;KC002422,merge_all,Dental and jaw pain,merge_all,Dental and jaw pain,merge_all,Dental and jaw pain,,,
KCL00109,Symptom Description,"Dental pain after anesthesia wears off
Pain after anesthesia wears off
Severe dental pain after anesthesia wears off
Severe pain after anesthesia wears off",4,severity,KC002743;KC002760;KC002993,merge_all,Pain after anesthesia wears off,merge_all,Dental pain after anesthesia wears off,merge_all,Pain after anesthesia wears off,,,
KCL00130,Symptom Description,"Pain during anesthesia administration
Pain during dental anesthesia administration
Severe pain during anesthesia administration
Severe pain during dental anesthesia administration",4,severity,KC002709;KC002837;KC002973,merge_all,Pain during anesthesia administration,merge_all,Pain during anesthesia administration,merge_all,Pain during anesthesia administration,,,
KCL00117,Symptom Description,"Dental pain post-extraction
Post-extraction dental pain
Post-extraction pain",3,cause_trigger;treatment,KC002502;KC002943;KC002944,merge_all,Post-extraction pain,merge_all,Post-extraction pain,merge_all,Post-extraction pain,,,
KCL00131,Symptom Description,"Pain in wisdom tooth
Wisdom tooth pain
Wisdom tooth-related pain",3,body_site;cause_trigger,KC002591;KC002686,merge_all,Wisdom tooth pain,merge_all,Wisdom tooth-related pain,merge_all,Wisdom tooth pain,,,
KCL00107,Symptom Description,"Dental hypersensitivity
Dental hypersensitivity and pain
Dental hypersensitivity pain",3,,KC002694;KC002836,merge_all,Dental hypersensitivity,merge_all,Dental hypersensitivity,merge_all,Dental hypersensitivity,,,
KCL00136,Symptom Description,"Severe dental pain during treatment
Severe pain during dental treatment
Severe pain during treatment",3,severity,KC002635;KC002928,merge_all,Severe pain during treatment,merge_all,Severe pain during treatment,merge_all,Severe pain during treatment,,,
KCL00118,Symptom Description,"Dental pain referred to head
Referred pain to head
Referred pain to the head",3,body_site,KC002616;KC002941,merge_all,Referred pain to head,merge_all,Referred pain to head,merge_all,Referred pain to head,,,
KCL00111,Symptom Description,"Dental pain and headache
Dental pain with headache
Headache and dental pain",3,,KC002462;KC002463;KC002512,merge_all,Dental pain and headache,merge_all,Dental pain with headache,merge_all,Dental pain and headache,,,
KCL00145,Symptom Description,"Uncertain dental pain location
Uncertain location of dental pain
Uncertain pain location",3,,KC002801;KC002994,merge_all,Uncertain pain location,merge_all,Uncertain pain location,merge_all,Uncertain pain location,,,
KCL00106,Symptom Description,"Dental discomfort
Dental pain and discomfort
Discomfort",3,,KC002915;KC002937,merge_all,Dental discomfort,merge_all,Discomfort,merge_all,Dental discomfort,,,
KCL00125,Symptom Description,"Gingival inflammation
Gingival inflammation and pain
Gingival pain and inflammation",3,body_site,KC002858;KC002859,merge_all,Gingival inflammation,merge_all,Gingival inflammation,merge_all,Gingival inflammation,,,
KCL00110,Symptom Description,"Dental pain and dysphagia
Dysphagia and dental pain
Dysphagia due to dental pain",3,,KC002448;KC002531,merge_all,Dental pain and dysphagia,merge_all,Dysphagia and dental pain,merge_all,Dental pain and dysphagia,,,
KCL00115,Symptom Description,"Dental pain improvement
Improvement in dental pain
Pain improvement",3,,KC002496;KC002883,merge_all,Pain improvement,merge_all,Pain improvement,merge_all,Pain improvement,,,
KCL00119,Symptom Description,"Dental pain resolution
Resolution of dental pain
Resolution of pain",3,,KC002506;KC002927,merge_all,Resolution of pain,merge_all,Pain resolution,merge_all,Resolution of pain,,,
KCL00134,Symptom Description,"Persistent severe dental pain
Severe and persistent dental pain
Severe persistent dental pain",3,severity;temporality,KC002599;KC002600,merge_all,Persistent severe dental pain,merge_all,Severe and persistent dental pain,merge_all,Persistent severe dental pain,,,
KCL00147,Symptom Description,"Worsening dental pain
Worsening of dental pain",2,,KC002687,merge_all,Worsening dental pain,merge_all,Worsening dental pain,merge_all,Worsening dental pain,,,
KCL00114,Symptom Description,"Dental pain during treatment
Pain during dental treatment",2,,KC002493,merge_all,Dental pain during treatment,merge_all,Pain during dental treatment,merge_all,Dental pain during treatment,,,
KCL00143,Symptom Description,"Throbbing dental pain
Throbbing pain",2,,KC002995,merge_all,Throbbing pain,merge_all,Throbbing pain,merge_all,Throbbing pain,,,
KCL00137,Symptom Description,"Severe dental pain post-extraction
Severe post-extraction pain",2,cause_trigger;severity;treatment,KC002885,merge_all,Severe post-extraction pain,merge_all,Severe post-extraction pain,merge_all,Severe post-extraction pain,,,
KCL00139,Symptom Description,"Severe pain in wisdom tooth
Severe wisdom tooth pain",2,body_site;cause_trigger;severity,KC002647,merge_all,Severe wisdom tooth pain,merge_all,Severe pain in wisdom tooth,merge_all,Severe wisdom tooth pain,,,
KCL00138,Symptom Description,"Severe dental pain preventing sleep
Severe pain preventing sleep",2,consequence;severity,KC002791,merge_all,Severe pain preventing sleep,merge_all,Severe dental pain preventing sleep,merge_all,Severe pain preventing sleep,,,
KCL00144,Symptom Description,"Tooth mobility
Tooth mobility and pain",2,body_site,KC002972,merge_all,Tooth mobility,merge_all,Tooth mobility,merge_all,Tooth mobility,,,
KCL00128,Symptom Description,"Intermittent dental pain
Intermittent pain",2,temporality,KC002854,merge_all,Intermittent pain,merge_all,Intermittent pain,merge_all,Intermittent pain,,,
KCL00135,Symptom Description,"Post-treatment dental pain
Post-treatment pain",2,,KC002870,merge_all,Post-treatment pain,merge_all,Post-treatment pain,merge_all,Post-treatment pain,,,
KCL00116,Symptom Description,"Dental pain onset
Onset of dental pain",2,,KC002500,merge_all,Dental pain onset,merge_all,Dental pain onset,merge_all,Dental pain onset,,,
KCL00126,Symptom Description,"Gingival pain and swelling
Gingival swelling and pain",2,body_site,KC002551,merge_all,Gingival pain and swelling,merge_all,Gingival pain and swelling,merge_all,Gingival pain and swelling,,,
KCL00140,Symptom Description,"Severe sudden dental pain
Sudden severe dental pain",2,severity;temporality,KC002649,merge_all,Severe sudden dental pain,merge_all,Severe sudden dental pain,merge_all,Severe sudden dental pain,,,
KCL00127,Symptom Description,"Insomnia due to dental pain
Insomnia due to pain",2,,KC002782,merge_all,Insomnia due to pain,merge_all,Insomnia,merge_all,Insomnia due to pain,,,
KCL00121,Symptom Description,"Dentin hypersensitivity
Dentin hypersensitivity pain",2,,KC002692,merge_all,Dentin hypersensitivity,merge_all,Dental hypersensitivity,merge_all,Dentin hypersensitivity,,,
KCL00103,Symptom Description,"Anticipated dental pain
Anticipated pain",2,,KC002866,merge_all,Anticipated pain,merge_all,Anticipated pain,merge_all,Anticipated pain,,,
KCL00124,Symptom Description,"Generalized dental pain
Generalized pain",2,,KC002813,merge_all,Generalized pain,merge_all,Generalized pain,merge_all,Generalized pain,,,
KCL00123,Symptom Description,"Extreme dental pain
Extreme pain",2,severity,KC002996,merge_all,Extreme pain,merge_all,Extreme pain,merge_all,Extreme pain,,,
KCL00129,Symptom Description,"Oral bleeding
Oral bleeding pain",2,,KC002708,merge_all,Oral bleeding,merge_all,Oral bleeding,merge_all,Oral bleeding,,,
KCL00133,Symptom Description,"Persistent dull dental pain
Persistent dull pain",2,temporality,KC002945,merge_all,Persistent dull pain,merge_all,Persistent pain,merge_all,Persistent dull pain,,,
KCL00120,Symptom Description,"Dental pain triggered by eating
Pain triggered by eating",2,consequence,KC002920,merge_all,Pain triggered by eating,merge_all,Pain triggered by eating,merge_all,Pain triggered by eating,,,
KCL00104,Symptom Description,"Bruxism or tooth clenching
Severe bruxism or tooth clenching",2,,KC002977,merge_all,Bruxism or clenching,merge_all,Bruxism,merge_all,Bruxism or clenching,,,
KCL00113,Symptom Description,"Dental pain duration
Duration of dental pain",2,,KC002488,merge_all,Dental pain duration,merge_all,Pain duration,merge_all,Dental pain duration,,,
KCL00122,Symptom Description,"Excessive salivation
Excessive salivation due to pain",2,,KC002886,merge_all,Excessive salivation,merge_all,Excessive salivation,merge_all,Excessive salivation,,,
KCL00132,Symptom Description,"Persistent dental pain after treatment
Persistent pain after treatment",2,temporality,KC002797,merge_all,Persistent pain after treatment,merge_all,Persistent pain,merge_all,Persistent pain after treatment,,,
KCL00146,Symptom Description,"Unexplained dental pain
Unexplained pain",2,,KC002748,merge_all,Unexplained pain,merge_all,Unexplained pain,merge_all,Unexplained pain,,,
